"artist","song","lyrics"
"Beyoncé","Formation","What happened at the New Wil'ins? Bitch, I'm back by popular demand  Y'all haters corny with that Illuminati mess Paparazzi, catch my fly and my cocky fresh I'm so reckless when I rock my Givenchy dress (Stylin') I'm so possessive so I rock his Roc necklaces My daddy Alabama, momma Louisiana You mix that negro with that Creole, make a Texas bama I like my baby heir with baby hair and afros I like my negro nose with Jackson Five nostrils Earned all this money, but they never take the country out me I got hot sauce in my bag, swag Oh yeah, baby, oh yeah I, oh, oh, yes, I like that I did not come to play with you hoes, haha I came to slay, bitch I like cornbreads and collard greens, bitch Oh, yes, you besta believe it Y'all haters corny with that lluminati mess Paparazzi, catch my fly and my cocky fresh I'm so reckless when I rock my Givenchy dress (Stylin') I'm so possessive so I rock his Roc necklaces My daddy Alabama, momma Louisiana You mix that negro with that Creole, make a Texas bama I like my baby heir with baby hair and afros I like my negro nose with Jackson Five nostrils Earned all this money but they never take the country out me I got hot sauce in my bag, swag  I see it, I want it, I stunt; yellow bone-it I dream it, I work hard, I grind 'til I own it I twirl on them haters, albino alligators El Camino with the seat low, sippin' Cuervo with no chaser Sometimes I go off (I go off), I go hard (I go hard) Get what's mine (Take what's mine), I'm a star (I'm a star) 'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay (Okay) All day (Okay), I slay (Okay), I slay (Okay), I slay (Okay) We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I slay (Okay) I slay (Okay), okay (Okay), I slay (Okay), okay, okay, okay, okay Okay, okay, ladies, now let's get in formation, 'cause I slay Okay, ladies, now let's get in formation, 'cause I slay Prove to me you got some coordination, 'cause I slay Slay trick, or you get eliminated  When he fuck me good, I take his ass to Red Lobster, 'cause I slay When he fuck me good, I take his ass to Red Lobster, we gon' slay If he hit it right, I might take him on a flight on my chopper, I slay Drop him off at the mall, let him buy some J's, let him shop up, 'cause I slay I might get your song played on the radio station, 'cause I slay I might get your song played on the radio station, 'cause I slay You just might be a black Bill Gates in the making, 'cause I slay I just might be a black Bill Gates in the making I see it, I want it, I stunt; yellow bone-it I dream it, I work hard, I grind 'til I own it I twirl on my haters, albino alligators (Twirl) El Camino with the seat low, sippin' Cuervo with no chaser Sometimes I go off (I go off), I go hard (I go hard) Take what's mine (Take what's mine), I'm a star (I'm a star) 'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay (Okay) I slay (Okay), I slay (Okay), I slay (Okay), I slay (Okay) We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I slay (Okay) I slay (Okay), okay (Okay), I slay (Okay), okay, okay, okay, okay Okay, okay, ladies, now let's get in formation, I slay Okay, ladies, now let's get in formation, 'cause I slay Prove to me you got some coordination, 'cause I slay Slay trick, or you get eliminated, I slay  Okay, ladies, now let's get in formation, I slay Okay, ladies, now let's get in formation You know you that bitch when you cause all this conversation Always stay gracious, best revenge is your paper  Girl, I hear some thunder Golly, look at that water, boy, oh Lord235"
"Rihanna","Work","Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn? Me nuh cyar if him Hurt, hurt, hurt, hurt, hurting  Dry! Me ah desert him Nuh time to have you lurking Him ah go act like he nuh like it You know I dealt with you the nicest Nuh body touch me, you nuh righteous Nuh badda, text me in a crisis I believed all of your dreams, adoration You took my heart and my keys and my patience You took my heart on my sleeve for decoration You mistaken my love I brought for you for foundation All that I wanted from you was to give me Something that I never had Something that you've never seen Something that you've never been Mmmmm But I wake up and act like nothing's wrong Just get ready fi  Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work Ner, ner, ner, ner, ner, ner When yuh ago learn, learn, learn, learn, learn, learn? Before the tables turn, turn, turn, turn, turn, turn  Beg you something, please Baby, don't you leave Don't leave me stuck here in the streets, uh-huh If I get another chance to I will never, no, never neglect you I mean, who am I to hold your past against you? I just hope that it gets to you I hope that you see this through I hope that you see this true What can I say? Please recognize I'm tryin', babe I have to Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn? Me nuh cyar if him Hurt, hurt, hurt, hurt, hurting  Yeah, okay You need to get done, done, done, done at work, come over We just need to slow the motion Don't give that away to no one Long distance, I need you When I see potential, I just gotta see it through If you had a twin, I would still choose you I don't wanna rush into it if it's too soon But I know you need to get done, done, done, done If you come over Sorry if I'm way less friendly I got niggas tryna end me, oh (Yeah) I spilled all my emotions tonight, I'm sorry Rollin', rollin', rollin', rollin', rollin' How many more shots until you're rollin'? We just need a face-to-face You could pick the time and the place You spent some time away Now you need to forward and give me all the Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn? Me nuh cyar if him Hurt, hurt, hurt, hurt, hurting  Mmmmm, mmmmm Mmmmm, mmmmm Work, work, work, work, work, work Mmmmm, mmmmm 623"
"Twenty One Pilots","Stressed Out","I wish I found some better sounds no one's ever heard I wish I had a better voice that sang some better words I wish I found some chords in an order that is new I wish I didn't have to rhyme every time I sang I was told, when I get older, all my fears would shrink But now I'm insecure, and I care what people think  My name's Blurryface and I care what you think My name's Blurryface and I care what you think  Wish we could turn back time (Time, time) to the good old days When our momma sang us to sleep, but now we're stressed out (Out, oh) Wish we could turn back time (Oh) to the good old days (Oh) When our momma sang us to sleep, but now we're stressed out (Out, out, out, out)  We're stressed out (Out, out, out, out)  Sometimes a certain smell will take me back to when I was young How come I'm never able to identify where it's comin' from? I'd make a candle out of it, if I ever found it Try to sell it, never sell out of it, I'd probably only sell one It'd be to my brother, 'cause we have the same nose Same clothes, homegrown, a stone's throw from a creek we used to roam But it would remind us of when nothing really mattered Out of student loans and treehouse homes, we all would take the latter My-my-my name's Blurryface and I care what you think My name's Blurryface and I care what you think  Wish we could turn back time (Time, time) to the good old days When our momma sang us to sleep, but now we're stressed out (Out, oh) Wish we could turn back time (Oh) to the good old days (Oh) When our momma sang us to sleep, but now we're stressed out We used to play pretend, give each other different names We would build a rocket ship and then we'd fly it far away Used to dream of outer space, but now they're laughin' at our face Sayin', ""Wake up, you need to make money,"" yeah We used to play pretend, give each other different names We would build a rocket ship and then we'd fly it far away Used to dream of outer space, but now they're laughin' at our face Sayin', ""Wake up, you need to make money,"" yeah  Wish we could turn back time (Time, time) to the good old days When our momma sang us to sleep, but now we're stressed out (Out, oh) Wish we could turn back time (Oh) to the good old days (Oh) When our momma sang us to sleep, but now we're stressed out We used to play pretend, used to play pretend, money We used to play pretend, wake up, you need the money Used to play pretend, used to play pretend, money We used to play pretend, wake up, you need the money Used to play pretend, give each other different names We would build a rocket ship and then we'd fly it far away Used to dream of outer space, but now they're laughin' at our face Sayin', ""Wake up, you need to make money,"" yeah518"
"Lukas Graham","7 Years","Once, I was seven years old, my mama told me ""Go make yourself some friends, or you'll be lonely"" Once, I was seven years old  It was a big, big world, but we thought we were bigger Pushing each other to the limits, we were learning quicker By eleven, smoking herb and drinking burning liquor Never rich, so we were out to make that steady figure  Once, I was eleven years old, my daddy told me ""Go get yourself a wife, or you'll be lonely"" Once, I was eleven years old  I always had that dream like my daddy before me So I started writing songs, I started writing stories Something about that glory just always seemed to bore me 'Cause only those I really love will ever really know me  Once, I was twenty years old, my story got told Before the morning sun, when life was lonely Once, I was twenty years old (Lukas Graham!)  I only see my goals, I don't believe in failure 'Cause I know the smallest voices, they can make it major I got my boys with me, at least those in favor And if we don't meet before I leave, I hope I'll see you later Once, I was twenty years old, my story got told I was writing 'bout everything I saw before me Once, I was twenty years old  Soon, we'll be thirty years old, our songs have been sold We've traveled around the world and we're still roaming Soon, we'll be thirty years old  I'm still learning about life, my woman brought children for me So I can sing them all my songs, and I can tell them stories Most of my boys are with me, some are still out seeking glory And some I had to leave behind, my brother, I'm still sorry  Soon, I'll be sixty years old, my daddy got sixty-one Remember life and then your life becomes a better one I made a man so happy when I wrote a letter once I hope my children come and visit once or twice a month Soon, I'll be sixty years old, will I think the world is cold? Or will I have a lot of children who can warm me? Soon, I'll be sixty years old Soon, I'll be sixty years old, will I think the world is cold? Or will I have a lot of children who can hold me? Soon, I'll be sixty years old  Once, I was seven years old, my mama told me ""Go make yourself some friends, or you'll be lonely"" Once I was seven years old Once I was seven years old198"
"Justin Bieber","Love Yourself"," For all the times that you rained on my parade And all the clubs you get in using my name You think you broke my heart, oh girl, for goodness' sake You think I'm cryin' on my own, well, I ain't  And I didn't wanna write a song 'Cause I didn't want anyone thinking I still care I don't, but you still hit my phone up And baby, I'll be movin' on And I think you should be somethin' I don't wanna hold back Maybe you should know that  My mama don't like you and she likes everyone And I never like to admit that I was wrong And I've been so caught up in my job, didn't see what's going on But now I know, I'm better sleeping on my own  'Cause if you like the way you look that much Oh baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself  But when you told me that you hated my friends The only problem was with you and not them And every time you told me my opinion was wrong And tried to make me forget where I came from  And I didn't wanna write a song 'Cause I didn't want anyone thinking I still care I don't, but you still hit my phone up And baby, I'll be movin' on And I think you should be somethin' I don't wanna hold back Maybe you should know that  My mama don't like you and she likes everyone And I never like to admit that I was wrong And I've been so caught up in my job, didn't see what's going on But now I know, I'm better sleeping on my own  'Cause if you like the way you look that much Oh baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself For all the times that you made me feel small I fell in love, now I feel nothin' at all I never felt so low and I was vulnerable Was I a fool to let you break down my walls?  'Cause if you like the way you look that much Oh baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself 'Cause if you like the way you look that much Oh baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself150"
"Mike Posner","I Took a Pill in Ibiza","I took a pill in Ibiza to show Avicii I was cool And when I finally got sober, felt 10 years older But fuck it, it was something to do I'm living out in LA, I drive a sports car just to prove I'm a real big baller 'cause I made a million dollars And I spend it on girls and shoes But you don't wanna be high like me Never really knowing why like me You don't ever wanna step off that roller coaster And be all alone You don't wanna ride the bus like this Never knowing who to trust like this You don't wanna be stuck up on that stage singing Stuck up on that stage singing All I know are sad songs, sad songs Darling, all I know are sad songs, sad songs  I'm just a singer who already blew his shot I get along with old timers 'Cause my name's a reminder of a pop song people forgot And I can't keep a girl, no 'Cause as soon as the sun comes up I cut 'em all loose and work's my excuse But the truth is I can't open up  Now you don't wanna be high like me Never really knowing why like me You don't ever wanna step off that roller coaster And be all alone You don't wanna ride the bus like this Never knowing who to trust like this You don't wanna be stuck up on that stage singing Stuck up on that stage singing All I know are sad songs, sad songs Darling, all I know are sad songs, sad songs (Hey)  I took a plane to my hometown I brought my pride and my guitar All my friends are all gone but there's manicured lawns And the people still think I'm a star I walked around downtown I met some fans on Lafayette They said tell us how to make it 'cause we're getting real impatient So I looked 'em in the eye and said You don't wanna be high like me Never really knowing why like me You don't ever wanna step off that roller coaster And be all alone You don't wanna ride the bus like this Never knowing who to trust like this You don't wanna be stuck up on that stage singing Stuck up on that stage singing All I know are sad songs, sad songs Darling, all I know are sad songs, sad songs84"
"Bruno Mars","24K Magic","Tonight I just wanna take you higher Throw your hands up in the sky Let's set this party off right Players  Put your pinky rings up to the moon Girls, what y'all tryna do? 24-karat magic in the air Head to toe so player Look out, uh  Pop-pop, it's show time (Show time), show time (Show time) Guess who's back again? (Brrah) Oh, they don't know? (Go on, tell 'em) Oh, they don't know? (Go on, tell 'em) I bet they know as soon as we walk in (Showin' up) Wearin' Cuban links (Yeah), designer minks (Yeah) Inglewood's finest shoes (Woop, woop) Don't look too hard, might hurt yourself Known to give the color red the blues Woo, shit  I'm a dangerous man with some money in my pocket (Keep up) So many pretty girls around me and they wakin' up the rocket (Keep up) Why you mad? Fix your face, ain't my fault they all be jockin' (Keep up) Players only, come on Put your pinky rings up to the moon Girls, what y'all tryna do? 24-karat magic in the air Head to toe so player Look out, uh  Second verse for the hustlers (Hustlers), gangsters (Gangsters) Bad bitches and your ugly ass friends (Haha) Can I preach? (Uh-oh) Can I preach? (Uh-oh) I gotta show 'em how a pimp get it in First, take your sip (Sip), do your dip (Dip) Spend your money like money ain't shit Ooh-ooh (We too fresh) Got to blame it on Jesus (Hashtag blessed) They ain't ready for me, uh  I'm a dangerous man with some money in my pocket (Keep up) So many pretty girls around me and they wakin' up the rocket (Keep up) Why you mad? Fix your face, ain't my fault they all be jockin' (Keep up) Players only, come on  Put your pinky rings up to the moon (Woo, hey, girls) What y'all tryna do? (What you tryna do?) 24-karat magic in the air (Air, air) Head to toe so player (Ooh) Look out, uh (Woo) Everywhere I go, they be like (Ooh, so player) (Woo) Everywhere I go, they be like (Ooh, so player; ah) (Woo) Everywhere I go, they be like (Ooh, so player, ooh) Now, now, now Now watch me break it down like, ugh 24-karat (Woo), 24-karat magic (What's that sound?) 24-karat, 24-karat magic (Come on now) 24-karat, 24-karat magic Don't fight the feelin', invite the feelin', just  Put your pinky rings up to the moon (Ooh) Girls, what y'all tryna do? (Tell me what you're tryna do) 24-karat magic in the air (Yeah, get up) Head to toe so player (Hands up) Put your pinky rings up to the moon (24-karat, 24-karat magic) Girls, what y'all tryna do? (24-karat, 24-karat magic; do) 24-karat magic in the air (24-karat, 24-karat magic) Head to toe so player (24-karat) Look out, uh (24-karat magic)78"
"Childish Gambino","Redbone","Daylight I wake up feelin' like you won't play right I used to know, but now that shit don't feel right It made me put away my pride So long You made a nigga wait for some, so long You make it hard for boy like that to go on I'm wishin' I could make this mine, oh  (If you want it) Yeah (You can have it) Oh, oh, oh (If you need it) Ooh (We can make it, oh) If you want it You can have it  But stay woke Niggas creepin' They gon' find you Gon' catch you sleepin', ooh Now stay woke Niggas creepin' Now, don't you close your eyes  Too late You wanna make it right, but now it's too late My peanut butter chocolate cake with Kool-Aid I'm tryin' not to waste my time  (If you want it) Oh (You can have it) You can have it (If you need it) You better believe in somethin' (We can make it, oh) If you want it (You can have it) Ahh!  But stay woke (Stay woke) Niggas creepin' (They be creepin') They gon' find you (They gon' find you) Gon' catch you sleepin', ooh (Gon' catch you sleepin', put your hands up now, baby) Now stay woke Niggas creepin' Now, don't you close your eyes But stay woke (Ooh-ahh) Niggas creepin' (They gon' find you) They gon' find you Gon' catch you sleepin', ooh (Gon' catch you, gon' catch you) Now stay woke Niggas creepin' Now, don't you close your eyes How'd it get so scandalous? Oh, how'd it get so scandalous? Oh, oh, baby you, how'd it get How'd it get so scandalous? How'd it get so scandalous? But stay woke But stay woke358"
"Luis Fonsi & Daddy Yankee feat. Justin Bieber","Despacito"," Comin' over in my direction So thankful for that, it's such a blessin', yeah Turn every situation into heaven, yeah Oh-oh, you are My sunrise on the darkest day Got me feelin' some kind of way Make me wanna savor every moment slowly, slowly You fit me tailor-made, love how you put it on Got the only key, know how to turn it on The way you nibble on my ear, the only words I wanna hear Baby, take it slow so we can last long  ¡Oh! Tú, tú eres el imán y yo soy el metal Me voy acercando y voy armando el plan Sólo con pensarlo se acelera el pulso (Oh, yeah) Ya, ya me está gustando más de lo normal Todos mis sentidos van pidiendo más Esto hay que tomarlo sin ningún apuro  Despacito Quiero respirar tu cuello despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Despacito Quiero desnudarte a besos despacito Firmo en las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito (Sube, sube, sube Sube, sube)  Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah) Que le enseñes a mi boca (Woah, woah) Tus lugares favoritos (Favorito, favorito, baby) Déjame sobrepasar tus zonas de peligro (Woah, woah) Hasta provocar tus gritos (Woah, woah) Y que olvides tu apellido  Si te pido un beso, ven, dámelo, yo sé que estás pensándolo Llevo tiempo intentándolo, mami, esto es dando y dándolo Sabes que tu corazón conmigo te hace bom, bom Sabes que esa beba está buscando de mi bom, bom Ven, prueba de mi boca para ver cómo te sabe Quiero, quiero, quiero ver cuánto amor a ti te cabe Yo no tengo prisa, yo me quiero dar el viaje Empecemos lento, después salvaje  Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Cuando tú me besas con esa destreza Veo que eres malicia con delicadeza Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Y es que esa belleza es un rompecabezas Pero pa' montarlo aquí tengo la pieza ¡Oye! Despacito Quiero respirar tu cuello despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Despacito Quiero desnudarte a besos despacito Firmo en las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito (Sube, sube, sube Sube, sube)  Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah) Que le enseñes a mi boca (Woah, woah) Tus lugares favoritos (Favorito, favorito, baby) Déjame sobrepasar tus zonas de peligro (Woah, woah) Hasta provocar tus gritos (Woah, woah) Y que olvides tu apellido  Despacito This is how we do it down in Puerto Rico I just wanna hear you screaming, ""¡Ay, bendito!"" I can move forever cuando esté contigo ¡Báilalo! Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Que le enseñes a mi boca Tus lugares favoritos (Favorito, favorito, baby) Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Hasta provocar tus gritos (Fonsi) Y que olvides tu apellido (DY) Despacito416"
"Jay-Z","The Story of O.J.","Skin is, skin is Skin black, my skin is black My, black, my skin is yellow  Light nigga, dark nigga, faux nigga, real nigga Rich nigga, poor nigga, house nigga, field nigga Still nigga, still nigga I like that second one Light nigga, dark nigga, faux nigga, real nigga Rich nigga, poor nigga, house nigga, field nigga Still nigga, still nigga  O.J. like, ""I'm not black, I'm O.J.,"" okay  House nigga, don't fuck with me I'm a field nigga, with shined cutlery Gold-plated quarters, where the butlers be I'ma play the corners where the hustlers be I told him, ""Please don't die over the neighborhood That your mama rentin' Take your drug money and buy the neighborhood That's how you rinse it"" I bought every V12 engine Wish I could take it back to the beginnin' I coulda bought a place in DUMBO before it was DUMBO For like 2 million That same building today is worth 25 million Guess how I'm feelin'? Dumbo  Light nigga, dark nigga, faux nigga, real nigga Rich nigga, poor nigga, house nigga, field nigga Still nigga, still nigga Light nigga, dark nigga, faux nigga, real nigga Rich nigga, poor nigga, house nigga, field nigga Still nigga, still nigga  You wanna know what's more important than throwin' away money at a strip club? Credit You ever wonder why Jewish people own all the property in America? This how they did it  Financial freedom my only hope Fuck livin' rich and dyin' broke I bought some artwork for one million Two years later, that shit worth two million Few years later, that shit worth eight million I can't wait to give this shit to my children Y'all think it's bougie, I'm like, it's fine But I'm tryin' to give you a million dollars worth of game for $9.99 I turned that 2 to a 4, 4 to an 8 I turned my life into a nice first week release date Y'all out here still takin' advances, huh? Me and my niggas takin' real chances, uh Y'all on the 'Gram holdin' money to your ear There's a disconnect, we don't call that money over here, yeah Light nigga, dark nigga, faux nigga, real nigga Rich nigga, poor nigga, house nigga, field nigga Still nigga, still nigga Light nigga, dark nigga, faux nigga, real nigga Rich nigga, poor nigga, house nigga, field nigga Still nigga, still nigga119"
"Kendrick Lamar","HUMBLE.","Nobody pray for me It been that day for me Way (Yeah, yeah)  Ayy, I remember syrup sandwiches and crime allowances Finesse a nigga with some counterfeits, but now I'm countin’ this Parmesan where my accountant lives, in fact, I'm downin' this D’USSÉ with my boo bae, tastes like Kool-Aid for the analysts Girl, I can buy your ass the world with my paystub Ooh, that pussy good, won't you sit it on my taste bloods? I get way too petty once you let me do the extras Pull up on your block, then break it down: we playin' Tetris A.m. to the p.m., p.m. to the a.m., funk Piss out your per diem, you just gotta hate 'em, funk If I quit your BM, I still ride Mercedes, funk If I quit this season, I still be the greatest, funk My left stroke just went viral Right stroke put lil' baby in a spiral Soprano C, we like to keep it on a high note It's levels to it, you and I know  Bitch, be humble (Hol' up, bitch) Sit down (Hol' up, lil’, hol’ up, lil' bitch) Be humble (Hol’ up, bitch) Sit down (Hol' up, sit down, lil', sit down, lil' bitch) Be humble (Hol’ up, hol' up) Bitch, sit down (Hol' up, hol' up, lil' bitch) Be humble (Lil' bitch, hol' up, bitch) Sit down (Hol' up, hol' up, hol' up, hol' up) Be humble (Hol' up, hol' up) Sit down (Hol' up, hol' up, lil', hol' up, lil' bitch) Be humble (Hol' up, bitch) Sit down (Hol' up, sit down, lil', sit down, lil' bitch) Be humble (Hol' up, hol' up) Bitch, sit down (Hol' up, hol' up, lil' bitch) Be humble (Lil' bitch, hol' up, bitch) Sit down (Hol' up, hol' up, hol' up, hol' up)  Who that nigga thinkin' that he frontin' on Man-Man? (Man-Man) Get the fuck off my stage, I'm the Sandman (Sandman) Get the fuck off my dick, that ain't right I make a play fucking up your whole life I'm so fuckin' sick and tired of the Photoshop Show me somethin' natural like afro on Richard Pryor Show me somethin' natural like ass with some stretch marks Still I take you down right on your mama couch in Polo socks Ayy, this shit way too crazy, ayy, you do not amaze me, ayy I blew cool from AC, ayy, Obama just paged me, ayy I don't fabricate it, ayy, most of y'all be fakin', ayy I stay modest 'bout it, ayy, she elaborate it, ayy This that Grey Poupon, that Evian, that TED Talk, ayy Watch my soul speak, you let the meds talk, ayy If I kill a nigga, it won't be the alcohol, ayy I'm the realest nigga after all  Bitch, be humble (Hol' up, bitch) Sit down (Hol' up, lil', hol' up, lil' bitch) Be humble (Hol' up, bitch) Sit down (Hol' up, sit down, lil', sit down, lil' bitch) Be humble (Hol' up, hol' up) Bitch, sit down (Hol' up, hol' up, lil' bitch) Be humble (Lil' bitch, hol' up, bitch) Sit down (Hol' up, hol' up, hol' up, hol' up) Be humble (Hol' up, hol' up) Sit down (Hol' up, hol' up, lil', hol' up, lil' bitch) Be humble (Hol' up, bitch) Sit down (Hol' up, sit down, lil', sit down, lil' bitch) Be humble (Hol' up, hol' up) Bitch, sit down (Hol' up, hol' up, lil' bitch) Be humble (Lil' bitch, hol' up, bitch) Sit down (Hol' up, hol' up, hol' up, hol' up)1.2K"
"Bruno Mars","That's What I Like","Ayy, ayy, ayy I got a condo in Manhattan Baby girl, what's happenin'? You and your ass invited So go on and get to clappin' So pop it for a player Pop, pop it for me Turn around and drop it for a player Drop, drop it for me I'll rent a beach house in Miami (-ami) Wake up with no jammies (Nope) Lobster tail for dinner Julio, serve that scampi (Julio!) You got it if you want it Got, got it if you want it Said, you got it if you want it Take my wallet if you want it now  Jump in the Cadillac, girl, let's put some miles on it Anything you want, just to put a smile on it You deserve it, baby, you deserve it all And I'm gonna give it to you  Gold jewelry shinin' so bright Strawberry champagne on ice Lucky for you, that's what I like, that's what I like Lucky for you, that's what I like, that's what I like Sex by the fire at night Silk sheets and diamonds all white Lucky for you, that's what I like, that's what I like Lucky for you, that's what I like, that's what I like  I'm talkin' trips to Puerto Rico (Bih) Say the word and we go (Say it) You can be my freaka (Brrrt!) Girl, I'll be your fleeko, Mamacita I'll never make a promise that I can't keep I promise that your smile ain't gon' ever leave Shoppin' sprees in Paris Everything 24 karats Take a look in that mirror Now tell me, who's the fairest? Is it you? (Is it you?) Is it me? (Is it me?) Say it's us (Say it's us) and I'll agree, baby  Jump in the Cadillac, girl, let's put some miles on it Anything you want, just to put a smile on it You deserve it, baby, you deserve it all And I'm gonna give it to you  Gold jewelry shinin' so bright Strawberry champagne on ice Lucky for you, that's what I like, that's what I like Lucky for you, that's what I like, that's what I like Sex by the fire at night Silk sheets and diamonds all white Lucky for you, that's what I like, that's what I like Lucky for you, that's what I like, that's what I like You say you want a good time Well, here I am, baby, here I am, baby Talk to me, talk to me, talk to me baby Tell me, what's on your mind? (What's on your mind?) If you want it, girl, come and get it All this is here for you Tell me, baby, tell me, tell me, baby What you tryna do?  Gold jewelry shinin' so bright Strawberry champagne on ice Lucky for you, that's what I like, that's what I like (That's what I like, babe) Lucky for you, that's what I like, that's what I like (Oh, oh) Sex by the fire at night Silk sheets and diamonds all white (All white) Lucky for you, that's what I like, that's what I like (That's what I like, babe) Lucky for you, that's what I like, that's what I like (Ooh, ooh, ooh)97"
"Jay-Z","4:44","Do I find it so hard When I know in my heart I'm letting you down every day Letting you down every day Why do I keep on running away?  Look, I apologize, often womanize Took for my child to be born, see through a woman's eyes Took for these natural twins to believe in miracles Took me too long for this song, I don't deserve you I harassed you out in Paris ""Please come back to Rome, you make it home"" We talked for hours when you were on tour ""Please pick up the phone, pick up the phone!"" I said: ""Don't embarrass me"" instead of ""Be mine"" That was my proposal for us to go steady That was your 21st birthday You matured faster than me, I wasn't ready So I apologize I seen the innocence leave your eyes I still mourn its death and I apologize for all the stillborns 'Cause I wasn't present, your body wouldn't accept it I apologize to all the women whom I toyed with your emotions 'Cause I was emotionless And I apologize 'cause at your best, you are love And because I fall short of what I say I'm all about Your eyes leave with the soul that your body once housed And you stare blankly into space Thinkin' of all the time, you wasted it on all this basic shit So I apologize  I'm never gonna treat you I'm never gonna treat you like I should Oh  I apologize Our love was one for the ages and I contained us And all this ratchet shit and we more expansive Not meant to cry and die alone in these mansions Or sleep with our back turned We supposed to vacay 'til our backs burn We're supposed to laugh 'til our heart stops And then meet in a space where the dark stop And let love light the way Like the men before me, I cut off my nose to spite my face I never wanted another woman to know Something about me that you didn't know I promised, I cried, I couldn't hold I suck at love, I think I need a do-over I will be emotionally available if I invited you over I stew over; ""What if—"" ""You over my shit?""  I'm never gonna treat you I'm never gonna treat you like I should Oh And if my children knew I don't even know what I would do If they ain't look at me the same I would prob'ly die with all the shame ""You did what with who?"" What good is a ménage à trois when you have a soulmate? ""You risked that for Blue?"" If I wasn't a superhero in your face My heart breaks for the day I have to explain my mistakes And the mask goes away And Santa Claus is fake And you go online and see For Blue's tooth, the tooth fairy didn't pay  I'm never gonna treat you like I should76"
"Julia Michaels","Issues","I'm jealous, I'm overzealous When I'm down, I get real down When I'm high, I don't come down And I get angry, baby, believe me I could love you just like that And I could leave you just as fast  But you don't judge me 'Cause if you did, baby, I would judge you too No, you don't judge me 'Cause if you did, baby, I would judge you too  'Cause I got issues, but you got 'em too So give 'em all to me, and I'll give mine to you Bask in the glory of all our problems 'Cause we got the kind of love it takes to solve 'em Yeah, I got issues And one of them is how bad I need ya  You do shit on purpose You get mad and you break things Feel bad, try to fix things But you're perfect, poorly wired circuit And got hands like an ocean Push you out, pull you back in  'Cause you don't judge me 'Cause if you did, baby, I would judge you too No, you don't judge me 'Cause you see it from the same point of view  'Cause I got issues, but you got 'em too So give 'em all to me, and I'll give mine to you Bask in the glory of all our problems 'Cause we got the kind of love it takes to solve 'em Yeah, I got issues And one of them is how bad I need ya  (I got issues, you got 'em too) And one of them is how bad I need you (I got issues, and you got 'em too)  'Cause I got issues, but you got 'em too (I got) So give 'em all to me, and I'll give mine to you (You got 'em too) Bask in the glory of all our problems (I got issues) 'Cause we got the kind of love it takes to solve 'em (You got 'em too) Yeah, I got issues (I got) And one of them is how bad I need ya (You got 'em too) Yeah, I got issues (I got issues) And one of them is how bad I need ya (You got 'em too) Yeah, I got issues (I got) And one of them is how bad I need ya109"
